Gmt time,Open,High,Low,Close,Volume
10.09.2014 00:00:00.000,1.40563,1.41885,1.40433,1.41090,141576.2656
11.09.2014 00:00:00.000,1.41090,1.42179,1.40110,1.42062,137626.1875
12.09.2014 00:00:00.000,1.42057,1.43460,1.42029,1.43358,117975.1875
14.09.2014 00:00:00.000,1.43946,1.43955,1.43711,1.43803,6731.0601
15.09.2014 00:00:00.000,1.43804,1.44185,1.43004,1.43221,107322.7969
16.09.2014 00:00:00.000,1.43222,1.43829,1.42379,1.42689,128338.3984
17.09.2014 00:00:00.000,1.42686,1.43809,1.42579,1.43420,146238.875
18.09.2014 00:00:00.000,1.43421,1.44030,1.43350,1.43831,121874.8438
19.09.2014 00:00:00.000,1.43830,1.44388,1.43006,1.43645,137140.7344
21.09.2014 00:00:00.000,1.43658,1.43706,1.43534,1.43632,6755.9199
22.09.2014 00:00:00.000,1.43632,1.45078,1.43607,1.44751,155763.0938
23.09.2014 00:00:00.000,1.44752,1.45563,1.44017,1.45138,156205.125
24.09.2014 00:00:00.000,1.45135,1.45341,1.43784,1.44220,119481.4609
25.09.2014 00:00:00.000,1.44217,1.45237,1.44093,1.44884,144529.5
26.09.2014 00:00:00.000,1.44884,1.45623,1.44543,1.44579,119640.0703
28.09.2014 00:00:00.000,1.44848,1.45186,1.44720,1.45099,8983.1504
29.09.2014 00:00:00.000,1.45099,1.45847,1.44983,1.45630,129967.75
30.09.2014 00:00:00.000,1.45632,1.45872,1.44141,1.44517,145592.125
01.10.2014 00:00:00.000,1.44517,1.45606,1.44296,1.44356,165725.0938
02.10.2014 00:00:00.000,1.44356,1.44401,1.43451,1.44056,177160.3281
03.10.2014 00:00:00.000,1.44056,1.44661,1.43580,1.44194,125524.5391
05.10.2014 00:00:00.000,1.44138,1.44570,1.44136,1.44442,5414.1602
06.10.2014 00:00:00.000,1.44444,1.44522,1.43524,1.44154,125610.9922
07.10.2014 00:00:00.000,1.44155,1.44561,1.43136,1.43763,156830.7031
08.10.2014 00:00:00.000,1.43762,1.44999,1.43499,1.44155,161857.4688
09.10.2014 00:00:00.000,1.44153,1.44873,1.43458,1.44768,171059.0313
10.10.2014 00:00:00.000,1.44768,1.45465,1.44609,1.45309,142369.9844
12.10.2014 00:00:00.000,1.45281,1.46130,1.45149,1.45651,12804.7002
13.10.2014 00:00:00.000,1.45652,1.46033,1.44452,1.45319,141199.9063
14.10.2014 00:00:00.000,1.45319,1.45544,1.44420,1.45148,151095.1875
15.10.2014 00:00:00.000,1.45148,1.46625,1.44577,1.45809,210456.1094
16.10.2014 00:00:00.000,1.45804,1.47053,1.45627,1.45980,193824.9531
17.10.2014 00:00:00.000,1.45980,1.46527,1.45492,1.45912,120351.9297
19.10.2014 00:00:00.000,1.45513,1.45712,1.45367,1.45591,7881.1802
20.10.2014 00:00:00.000,1.45591,1.45949,1.45146,1.45762,103970.8984
21.10.2014 00:00:00.000,1.45765,1.46005,1.44225,1.44987,141667.8906
22.10.2014 00:00:00.000,1.44989,1.45330,1.43626,1.44195,149627.7188
23.10.2014 00:00:00.000,1.44188,1.44561,1.43774,1.44484,131937.3125
24.10.2014 00:00:00.000,1.44484,1.45132,1.43713,1.44112,99769.5469
26.10.2014 00:00:00.000,1.43963,1.44113,1.43911,1.43958,4937.5498
27.10.2014 00:00:00.000,1.43958,1.44489,1.43827,1.44243,99332.8281
28.10.2014 00:00:00.000,1.44242,1.44313,1.43572,1.43754,110015.4375
29.10.2014 00:00:00.000,1.43753,1.44119,1.43181,1.44043,126599.8906
30.10.2014 00:00:00.000,1.44043,1.44115,1.42484,1.42830,139713.5625
31.10.2014 00:00:00.000,1.42825,1.43141,1.42221,1.42290,144824.3281
02.11.2014 00:00:00.000,1.42840,1.42976,1.42770,1.42845,6349.8398
03.11.2014 00:00:00.000,1.42846,1.43891,1.42704,1.43748,147362.2656
04.11.2014 00:00:00.000,1.43748,1.44487,1.43081,1.43516,151897.7344
05.11.2014 00:00:00.000,1.43514,1.45664,1.43402,1.45439,170221.2188
06.11.2014 00:00:00.000,1.45439,1.45923,1.44293,1.44587,178157.6875
07.11.2014 00:00:00.000,1.44587,1.44861,1.43743,1.44132,154458.9688
09.11.2014 00:00:00.000,1.44164,1.44264,1.44077,1.44152,7002.0801
10.11.2014 00:00:00.000,1.44151,1.44308,1.43758,1.44066,117234.9375
11.11.2014 00:00:00.000,1.44065,1.44400,1.43276,1.43318,141325.0156
12.11.2014 00:00:00.000,1.43318,1.43796,1.42476,1.42701,155725.9531
13.11.2014 00:00:00.000,1.42701,1.43378,1.42262,1.43268,122875.0391
14.11.2014 00:00:00.000,1.43272,1.43460,1.42875,1.43103,126746.7969
16.11.2014 00:00:00.000,1.42710,1.43109,1.42692,1.43066,7531.3799
17.11.2014 00:00:00.000,1.43068,1.43456,1.42706,1.42969,129806.1016
18.11.2014 00:00:00.000,1.42969,1.44130,1.42836,1.43890,110907.2969
19.11.2014 00:00:00.000,1.43886,1.45903,1.43872,1.45741,143906.7656
20.11.2014 00:00:00.000,1.45741,1.46318,1.45243,1.45481,148171.625
21.11.2014 00:00:00.000,1.45481,1.45526,1.42456,1.42846,149710.375
23.11.2014 00:00:00.000,1.42438,1.42743,1.42410,1.42526,8957.1504
24.11.2014 00:00:00.000,1.42526,1.44708,1.42364,1.44551,113277.7578
