Gmt time,Open,High,Low,Close,Volume
10.09.2014 00:00:00.000,1.01019,1.01054,0.99924,1.00258,103738.8281
11.09.2014 00:00:00.000,1.00259,1.00859,1.00118,1.00387,109356.8984
12.09.2014 00:00:00.000,1.00389,1.00439,0.99959,1.00198,85579.7031
14.09.2014 00:00:00.000,0.99845,0.99982,0.99831,0.99914,6844.3198
15.09.2014 00:00:00.000,0.99912,1.00109,0.99670,0.99828,76544.7109
16.09.2014 00:00:00.000,0.99828,1.00098,0.99432,0.99659,94076.0938
17.09.2014 00:00:00.000,0.99659,0.99724,0.98508,0.98631,109053.6172
18.09.2014 00:00:00.000,0.98629,0.98749,0.98151,0.98289,96296.5625
19.09.2014 00:00:00.000,0.98289,0.98579,0.97713,0.97763,108473.8594
21.09.2014 00:00:00.000,0.97923,0.97945,0.97820,0.97851,4571.0898
22.09.2014 00:00:00.000,0.97851,0.98035,0.97404,0.97992,79798.8984
23.09.2014 00:00:00.000,0.97989,0.98329,0.97593,0.98004,99869.5078
24.09.2014 00:00:00.000,0.98004,0.98583,0.97944,0.98119,91391.9063
25.09.2014 00:00:00.000,0.98123,0.98149,0.97446,0.97761,111707
26.09.2014 00:00:00.000,0.97761,0.97913,0.97354,0.97792,97144.7891
28.09.2014 00:00:00.000,0.97568,0.97708,0.97425,0.97518,9010.5
29.09.2014 00:00:00.000,0.97524,0.97594,0.97050,0.97234,127305.2188
30.09.2014 00:00:00.000,0.97234,0.98058,0.97066,0.97929,107735.2734
01.10.2014 00:00:00.000,0.97924,0.97954,0.97148,0.97505,110270.8828
02.10.2014 00:00:00.000,0.97504,0.98344,0.97469,0.98118,135244.5625
03.10.2014 00:00:00.000,0.98116,0.98336,0.97284,0.97529,87433.6875
05.10.2014 00:00:00.000,0.97563,0.97666,0.97447,0.97533,4602.2402
06.10.2014 00:00:00.000,0.97534,0.98031,0.97388,0.97742,81222.9219
07.10.2014 00:00:00.000,0.97740,0.98614,0.97579,0.98304,137536.8438
08.10.2014 00:00:00.000,0.98304,0.98441,0.97813,0.98138,113806.4063
09.10.2014 00:00:00.000,0.98138,0.98618,0.97650,0.97994,140561.875
10.10.2014 00:00:00.000,0.97992,0.98273,0.97058,0.97227,120499.5234
12.10.2014 00:00:00.000,0.97157,0.97374,0.96848,0.97069,9636.7598
13.10.2014 00:00:00.000,0.97069,0.98324,0.96898,0.98096,114350.4063
14.10.2014 00:00:00.000,0.98095,0.98668,0.97915,0.98545,106864.0469
15.10.2014 00:00:00.000,0.98544,0.99592,0.98324,0.99045,180772.4375
16.10.2014 00:00:00.000,0.99043,0.99149,0.98390,0.98764,175021.6563
17.10.2014 00:00:00.000,0.98761,0.98995,0.98279,0.98583,102103.0625
19.10.2014 00:00:00.000,0.98802,0.98950,0.98729,0.98834,7252.3901
20.10.2014 00:00:00.000,0.98834,0.99284,0.98599,0.99133,93541.1563
21.10.2014 00:00:00.000,0.99133,0.99460,0.98383,0.98459,101403.9219
22.10.2014 00:00:00.000,0.98459,0.99186,0.98177,0.98641,96842.3203
