Gmt time,Open,High,Low,Close,Volume
10.09.2014 00:00:00.000,97.693,97.924,97.261,97.798,199254.8125
11.09.2014 00:00:00.000,97.796,98.344,97.251,97.426,154140.5313
12.09.2014 00:00:00.000,97.426,97.463,96.925,97.004,156421.8594
14.09.2014 00:00:00.000,96.587,96.787,96.528,96.718,7886.1802
15.09.2014 00:00:00.000,96.716,96.890,96.392,96.789,119162.6563
16.09.2014 00:00:00.000,96.789,97.525,96.364,97.297,146984.9375
17.09.2014 00:00:00.000,97.300,97.543,96.984,97.237,155609.9219
18.09.2014 00:00:00.000,97.239,97.806,97.117,97.724,129144.0469
19.09.2014 00:00:00.000,97.724,97.922,97.193,97.279,138807.1094
21.09.2014 00:00:00.000,97.362,97.512,97.283,97.378,6701.3501
22.09.2014 00:00:00.000,97.378,97.419,96.491,96.526,118589.0625
23.09.2014 00:00:00.000,96.526,96.980,96.087,96.101,137947.7031
24.09.2014 00:00:00.000,96.097,96.944,96.085,96.846,123976.9922
25.09.2014 00:00:00.000,96.847,96.873,95.403,95.622,143521.25
26.09.2014 00:00:00.000,95.622,95.987,95.363,95.779,125482.9688
28.09.2014 00:00:00.000,95.646,95.830,95.501,95.566,9885.9697
29.09.2014 00:00:00.000,95.565,95.684,95.127,95.325,148954.125
30.09.2014 00:00:00.000,95.325,96.028,95.118,95.816,145323.6094
01.10.2014 00:00:00.000,95.815,95.835,95.000,95.303,163773.3438
02.10.2014 00:00:00.000,95.302,95.815,94.888,95.418,178285.2031
03.10.2014 00:00:00.000,95.418,95.879,94.950,95.211,123422.2031
05.10.2014 00:00:00.000,95.164,95.308,95.024,95.116,6183.0098
06.10.2014 00:00:00.000,95.116,95.558,95.069,95.482,121714.2031
07.10.2014 00:00:00.000,95.482,95.582,95.096,95.194,164213.8125
08.10.2014 00:00:00.000,95.194,95.692,94.710,95.577,173144.1719
09.10.2014 00:00:00.000,95.576,95.833,94.437,94.495,225049.4063
10.10.2014 00:00:00.000,94.495,94.635,93.440,93.495,157744.9531
12.10.2014 00:00:00.000,93.481,93.550,92.866,93.142,16476.1992
13.10.2014 00:00:00.000,93.142,94.309,92.878,93.716,158108.6875
14.10.2014 00:00:00.000,93.716,94.510,92.947,93.460,169147.125
15.10.2014 00:00:00.000,93.459,94.009,92.186,93.200,238572.7344
16.10.2014 00:00:00.000,93.200,93.408,91.761,93.347,239536.5156
17.10.2014 00:00:00.000,93.347,93.731,92.747,93.444,145911.3594
19.10.2014 00:00:00.000,93.894,93.965,93.732,93.817,11347.2197
20.10.2014 00:00:00.000,93.815,94.215,93.592,93.822,126003.7188
21.10.2014 00:00:00.000,93.819,94.193,93.548,93.827,151863.3125
22.10.2014 00:00:00.000,93.827,94.568,93.553,93.931,131500.2031
23.10.2014 00:00:00.000,93.930,94.936,93.797,94.687,139895.6875
24.10.2014 00:00:00.000,94.689,95.284,94.122,95.034,115906.5313
26.10.2014 00:00:00.000,95.350,95.377,95.173,95.247,5687.25
27.10.2014 00:00:00.000,95.249,95.312,94.738,94.959,104254.0703
28.10.2014 00:00:00.000,94.959,95.837,94.921,95.796,107540.2969
29.10.2014 00:00:00.000,95.796,96.278,95.378,95.427,124559.0391
30.10.2014 00:00:00.000,95.428,96.677,95.416,96.417,136148.4375
31.10.2014 00:00:00.000,96.417,98.869,96.347,98.750,170140.5625
