Gmt time,Open,High,Low,Close,Volume
10.09.2014 00:00:00.000,106.122,106.885,106.041,106.838,134534.7188
11.09.2014 00:00:00.000,106.838,107.197,106.640,107.121,128683.2422
12.09.2014 00:00:00.000,107.120,107.394,107.052,107.334,110867.3125
14.09.2014 00:00:00.000,107.200,107.351,107.191,107.329,4275.02
15.09.2014 00:00:00.000,107.329,107.364,107.010,107.146,95560.5391
16.09.2014 00:00:00.000,107.144,107.331,106.810,107.148,118255.3672
17.09.2014 00:00:00.000,107.149,108.682,107.135,108.548,116041.3125
18.09.2014 00:00:00.000,108.546,108.960,108.373,108.806,96294.6797
19.09.2014 00:00:00.000,108.806,109.459,108.591,109.010,108142.0469
21.09.2014 00:00:00.000,109.026,109.181,108.911,108.949,4374.0498
22.09.2014 00:00:00.000,108.948,109.194,108.664,108.743,89101.9297
23.09.2014 00:00:00.000,108.744,108.992,108.251,108.555,97017.25
24.09.2014 00:00:00.000,108.552,109.340,108.492,109.326,98407.6328
25.09.2014 00:00:00.000,109.325,109.371,108.479,108.627,111536.1563
26.09.2014 00:00:00.000,108.628,109.533,108.477,109.161,101259.6328
28.09.2014 00:00:00.000,109.288,109.513,109.264,109.399,6390.8198
29.09.2014 00:00:00.000,109.400,109.745,109.129,109.403,103720.1484
30.09.2014 00:00:00.000,109.404,109.846,109.185,109.661,111564.3203
01.10.2014 00:00:00.000,109.662,110.087,108.866,109.009,136931.6563
02.10.2014 00:00:00.000,109.008,109.077,108.008,108.514,148091.375
03.10.2014 00:00:00.000,108.514,109.902,108.511,109.746,99930.4297
05.10.2014 00:00:00.000,109.707,109.849,109.699,109.809,3653.5701
06.10.2014 00:00:00.000,109.809,109.809,108.650,108.874,96981.3203
07.10.2014 00:00:00.000,108.874,109.232,107.754,108.069,141501.0313
08.10.2014 00:00:00.000,108.067,108.741,107.829,108.153,141247.2188
09.10.2014 00:00:00.000,108.152,108.316,107.528,107.830,158603.4063
10.10.2014 00:00:00.000,107.830,108.154,107.621,107.645,138095.5
12.10.2014 00:00:00.000,107.548,107.604,107.257,107.340,9105.0098
13.10.2014 00:00:00.000,107.340,107.573,106.756,107.059,116664.3203
14.10.2014 00:00:00.000,107.059,107.406,106.672,107.319,149607.8906
15.10.2014 00:00:00.000,107.318,107.494,105.195,106.006,207326.6563
16.10.2014 00:00:00.000,106.006,106.494,105.505,106.438,196312.7656
17.10.2014 00:00:00.000,106.439,106.941,106.134,106.867,122006.25
19.10.2014 00:00:00.000,107.203,107.237,106.998,107.162,6070.6299
20.10.2014 00:00:00.000,107.161,107.392,106.781,106.898,105483.3828
21.10.2014 00:00:00.000,106.898,107.111,106.251,107.012,117415.7578
22.10.2014 00:00:00.000,107.012,107.373,106.790,107.152,101471.0703
23.10.2014 00:00:00.000,107.153,108.352,107.105,108.164,110148.2813
24.10.2014 00:00:00.000,108.164,108.275,107.783,108.156,91713.0625
26.10.2014 00:00:00.000,108.339,108.339,108.138,108.181,3097.47
27.10.2014 00:00:00.000,108.183,108.183,107.606,107.842,86770.7969
28.10.2014 00:00:00.000,107.843,108.187,107.693,108.126,82711.6484
29.10.2014 00:00:00.000,108.125,108.963,107.941,108.837,83955.7266
30.10.2014 00:00:00.000,108.837,109.465,108.795,109.228,105762.75
31.10.2014 00:00:00.000,109.227,112.474,109.196,112.299,144738.9531
02.11.2014 00:00:00.000,112.699,112.984,112.690,112.834,8734.5703
03.11.2014 00:00:00.000,112.832,114.215,112.570,113.706,116389.9297
04.11.2014 00:00:00.000,113.708,113.784,113.165,113.519,127981.8828
05.11.2014 00:00:00.000,113.519,114.839,113.471,114.658,135416.875
06.11.2014 00:00:00.000,114.658,115.515,114.059,115.182,157022.5
07.11.2014 00:00:00.000,115.182,115.572,114.252,114.571,145765.375
09.11.2014 00:00:00.000,114.502,114.564,114.370,114.527,5909.1201
10.11.2014 00:00:00.000,114.528,114.907,113.857,114.802,114725.4297
11.11.2014 00:00:00.000,114.802,116.102,114.634,115.742,138511.0469
12.11.2014 00:00:00.000,115.740,115.878,114.885,115.593,147652.9844
13.11.2014 00:00:00.000,115.594,115.882,115.309,115.799,120894.8125
14.11.2014 00:00:00.000,115.798,116.825,115.723,116.231,131794.0938
16.11.2014 00:00:00.000,116.451,117.052,116.349,116.873,11009.9004
17.11.2014 00:00:00.000,116.875,116.878,115.453,116.634,137984.4844
18.11.2014 00:00:00.000,116.634,117.046,116.334,116.877,112473.2891
