Gmt time,Open,High,Low,Close,Volume
10.09.2014 00:00:00.000,96.697,97.709,96.686,97.535,115007.2422
11.09.2014 00:00:00.000,97.533,97.569,96.759,97.052,111871.1563
12.09.2014 00:00:00.000,97.039,97.164,96.632,96.712,95594.2188
14.09.2014 00:00:00.000,96.674,96.804,96.667,96.784,2847.71
15.09.2014 00:00:00.000,96.786,97.089,96.602,96.944,89404.4063
16.09.2014 00:00:00.000,96.943,97.707,96.765,97.620,110139.7031
17.09.2014 00:00:00.000,97.619,98.612,97.596,98.571,118263.5391
18.09.2014 00:00:00.000,98.575,99.449,98.438,99.415,106649.6094
19.09.2014 00:00:00.000,99.414,99.811,99.062,99.402,117989.8281
21.09.2014 00:00:00.000,99.364,99.570,99.364,99.507,4642.6299
22.09.2014 00:00:00.000,99.507,99.660,98.477,98.492,96605.1328
23.09.2014 00:00:00.000,98.492,98.733,97.947,98.040,102167.3828
24.09.2014 00:00:00.000,98.040,98.705,97.772,98.689,102781.1016
25.09.2014 00:00:00.000,98.691,98.723,97.667,97.797,116365.8125
26.09.2014 00:00:00.000,97.794,98.285,97.693,97.942,98333.8828
28.09.2014 00:00:00.000,97.961,98.094,97.946,97.973,5788.7402
29.09.2014 00:00:00.000,97.971,98.366,97.853,98.026,120330.6328
30.09.2014 00:00:00.000,98.026,98.377,97.797,97.835,119374.0078
01.10.2014 00:00:00.000,97.835,98.119,97.468,97.722,133494.5469
02.10.2014 00:00:00.000,97.725,98.113,96.762,97.240,153094.5938
03.10.2014 00:00:00.000,97.237,97.705,97.111,97.598,107004.9609
05.10.2014 00:00:00.000,97.466,97.597,97.452,97.507,4051.99
06.10.2014 00:00:00.000,97.510,97.818,97.308,97.671,100767.1094
07.10.2014 00:00:00.000,97.672,97.715,96.613,96.820,148046.4844
08.10.2014 00:00:00.000,96.819,97.474,96.574,97.376,149804.375
09.10.2014 00:00:00.000,97.374,97.493,96.347,96.422,155398.4063
10.10.2014 00:00:00.000,96.423,96.663,95.982,96.102,138198.125
12.10.2014 00:00:00.000,96.207,96.208,95.785,95.933,11538.7803
13.10.2014 00:00:00.000,95.933,95.990,95.344,95.519,134315.1406
14.10.2014 00:00:00.000,95.519,95.835,94.462,94.827,139759.9844
15.10.2014 00:00:00.000,94.825,94.898,93.379,94.081,214408.9531
16.10.2014 00:00:00.000,94.083,94.609,92.900,94.500,201302.875
17.10.2014 00:00:00.000,94.502,95.161,94.223,94.767,122856.7266
19.10.2014 00:00:00.000,94.957,94.976,94.817,94.905,9422.5898
20.10.2014 00:00:00.000,94.905,95.329,94.623,94.632,118866.5
21.10.2014 00:00:00.000,94.632,95.405,94.350,95.288,127069.0703
22.10.2014 00:00:00.000,95.287,95.869,94.951,95.207,118936.9922
23.10.2014 00:00:00.000,95.207,96.428,95.146,96.348,120281.25
24.10.2014 00:00:00.000,96.347,96.535,96.032,96.267,108076.5938
26.10.2014 00:00:00.000,96.453,96.453,96.213,96.256,4395.3101
27.10.2014 00:00:00.000,96.253,96.263,95.695,95.862,106192.0781
28.10.2014 00:00:00.000,95.863,96.870,95.825,96.793,105122.4531
29.10.2014 00:00:00.000,96.793,97.370,96.686,97.229,116864.8281
30.10.2014 00:00:00.000,97.231,97.840,97.210,97.547,128481.6719
31.10.2014 00:00:00.000,97.544,99.864,97.523,99.662,164599.9063
02.11.2014 00:00:00.000,99.838,100.176,99.832,99.948,7656.3701
03.11.2014 00:00:00.000,99.948,100.965,99.683,100.083,141475.1563
04.11.2014 00:00:00.000,100.083,100.143,99.281,99.627,151136.0938
05.11.2014 00:00:00.000,99.627,100.764,99.527,100.603,163108.5156
06.11.2014 00:00:00.000,100.604,101.202,100.060,100.789,181402.2344
07.11.2014 00:00:00.000,100.789,101.484,100.468,101.113,167564.1406
09.11.2014 00:00:00.000,101.062,101.207,100.939,101.086,5742.0098
10.11.2014 00:00:00.000,101.088,101.338,100.522,100.948,141234.4375
11.11.2014 00:00:00.000,100.947,102.270,100.817,102.097,155437.9844
12.11.2014 00:00:00.000,102.097,102.323,101.418,102.074,176527.8125
13.11.2014 00:00:00.000,102.078,102.342,101.582,101.727,144080.3125
14.11.2014 00:00:00.000,101.722,103.220,101.712,102.946,162372.5625
16.11.2014 00:00:00.000,103.177,103.652,103.100,103.514,9944.9102
17.11.2014 00:00:00.000,103.514,103.519,102.409,103.234,163576.0313
18.11.2014 00:00:00.000,103.234,103.787,102.982,103.227,135723.3438
19.11.2014 00:00:00.000,103.227,104.264,103.175,104.062,147082.7813
20.11.2014 00:00:00.000,104.060,104.717,103.985,104.539,162569.375
21.11.2014 00:00:00.000,104.539,105.313,103.878,104.817,177434.6719
23.11.2014 00:00:00.000,104.892,104.942,104.798,104.858,5424.52
24.11.2014 00:00:00.000,104.858,105.292,104.647,104.917,121556.7734
25.11.2014 00:00:00.000,104.917,104.971,104.252,104.707,145728.5625
26.11.2014 00:00:00.000,104.706,104.864,104.236,104.493,115350.1172
27.11.2014 00:00:00.000,104.498,104.598,103.737,103.942,106840.7109
28.11.2014 00:00:00.000,103.942,104.280,103.568,103.852,130606.9375
30.11.2014 00:00:00.000,103.858,104.012,103.706,103.764,8982.9902
01.12.2014 00:00:00.000,103.764,104.547,103.457,104.494,175954.0938
02.12.2014 00:00:00.000,104.498,104.932,104.392,104.517,138458.375
03.12.2014 00:00:00.000,104.518,105.493,104.466,105.447,138469.3125
04.12.2014 00:00:00.000,105.447,105.699,104.900,105.187,150707.0156
05.12.2014 00:00:00.000,105.187,106.417,105.098,106.168,140784
07.12.2014 00:00:00.000,106.277,106.500,106.171,106.230,7659.5298
08.12.2014 00:00:00.000,106.229,106.301,104.934,105.068,140665.8125
09.12.2014 00:00:00.000,105.067,105.272,103.457,104.300,219287.0313
10.12.2014 00:00:00.000,104.300,104.663,102.485,102.542,261625.0469
11.12.2014 00:00:00.000,102.542,103.666,102.418,103.187,218576.2344
12.12.2014 00:00:00.000,103.187,103.265,102.048,102.483,195866.7969
14.12.2014 00:00:00.000,102.348,102.418,101.814,102.167,15223.0303
15.12.2014 00:00:00.000,102.167,102.821,100.898,101.018,209064.6563
16.12.2014 00:00:00.000,101.017,101.268,99.132,100.234,255554.4844
17.12.2014 00:00:00.000,100.233,102.168,100.141,102.046,230402.0938
18.12.2014 00:00:00.000,102.046,102.792,101.714,102.660,177637.125
19.12.2014 00:00:00.000,102.660,103.223,102.347,102.953,143495.8125
21.12.2014 00:00:00.000,102.947,102.977,102.836,102.917,6308.79
22.12.2014 00:00:00.000,102.918,103.477,102.772,103.171,98059.0469
23.12.2014 00:00:00.000,103.170,103.987,103.147,103.842,88499.3438
24.12.2014 00:00:00.000,103.848,103.884,103.431,103.513,50271.5391
25.12.2014 00:00:00.000,103.513,103.614,103.223,103.563,11664.4102
26.12.2014 00:00:00.000,103.563,103.767,103.368,103.424,65900.5078
28.12.2014 00:00:00.000,103.527,103.573,103.441,103.500,5529.6899
29.12.2014 00:00:00.000,103.498,103.845,103.415,103.588,68307.5938
30.12.2014 00:00:00.000,103.587,103.662,102.270,102.932,103769.0625
31.12.2014 00:00:00.000,102.931,103.663,102.847,102.947,77791.1719
01.01.2015 00:00:00.000,103.036,103.280,102.983,103.185,3865.8301
02.01.2015 00:00:00.000,103.182,103.492,102.169,102.169,106578.4766
04.01.2015 00:00:00.000,102.223,102.302,101.642,102.074,8006.3501
05.01.2015 00:00:00.000,102.077,102.199,101.238,101.556,130745.7734
06.01.2015 00:00:00.000,101.556,101.699,99.907,100.222,160002.3438
07.01.2015 00:00:00.000,100.219,101.173,100.068,100.911,151622.4375
08.01.2015 00:00:00.000,100.911,101.578,100.871,101.273,124111.5703
09.01.2015 00:00:00.000,101.272,101.354,99.765,99.817,129833.3516
11.01.2015 00:00:00.000,99.723,99.874,99.650,99.813,4835.7598
12.01.2015 00:00:00.000,99.813,100.436,98.756,98.862,128902.9219
13.01.2015 00:00:00.000,98.862,99.433,98.161,98.537,168264.2344
14.01.2015 00:00:00.000,98.539,98.622,97.102,98.288,207312.25
15.01.2015 00:00:00.000,98.287,98.774,96.858,97.097,237088
16.01.2015 00:00:00.000,97.098,98.330,96.636,98.042,168226.6875
18.01.2015 00:00:00.000,98.004,98.235,97.941,98.222,3736.52
19.01.2015 00:00:00.000,98.222,98.571,97.644,98.472,111362.3828
20.01.2015 00:00:00.000,98.472,99.061,97.722,97.942,155858.4375
21.01.2015 00:00:00.000,97.942,98.040,95.060,95.451,188453.5625
22.01.2015 00:00:00.000,95.451,96.098,94.873,95.833,193111.5938
23.01.2015 00:00:00.000,95.833,95.874,94.657,94.787,155366.0469
25.01.2015 00:00:00.000,94.392,94.630,94.110,94.232,9369.96
26.01.2015 00:00:00.000,94.232,95.426,94.206,94.967,151582.1563
27.01.2015 00:00:00.000,94.967,95.258,94.230,95.002,157716.1563
28.01.2015 00:00:00.000,95.002,95.207,93.567,93.878,164920.4844
29.01.2015 00:00:00.000,93.877,94.297,93.321,93.755,168330.6719
30.01.2015 00:00:00.000,93.755,93.768,91.742,92.268,150249.8125
01.02.2015 00:00:00.000,92.051,92.413,92.049,92.344,8805.75
02.02.2015 00:00:00.000,92.344,93.616,92.111,93.445,152751.6406
03.02.2015 00:00:00.000,93.439,94.892,92.436,94.554,167355.875
04.02.2015 00:00:00.000,94.557,95.022,93.047,93.231,154831.5625
05.02.2015 00:00:00.000,93.228,94.818,93.106,94.500,126121.8281
06.02.2015 00:00:00.000,94.504,95.521,94.051,95.041,121756.8438
08.02.2015 00:00:00.000,94.888,95.129,94.872,95.019,8181.6802
09.02.2015 00:00:00.000,95.015,95.528,94.632,95.051,120575.1719
10.02.2015 00:00:00.000,95.048,95.791,94.477,94.828,129837.9297
11.02.2015 00:00:00.000,94.827,95.466,94.702,95.253,125139.8594
12.02.2015 00:00:00.000,95.247,95.697,94.375,95.055,159358.3125
13.02.2015 00:00:00.000,95.053,95.582,94.723,95.347,126950.0781
15.02.2015 00:00:00.000,95.153,95.370,95.152,95.231,9912.7998
16.02.2015 00:00:00.000,95.235,95.469,94.758,94.947,94393.2969
17.02.2015 00:00:00.000,94.947,96.415,94.817,96.193,122143.3672
18.02.2015 00:00:00.000,96.193,96.330,95.235,95.294,139885.4688
19.02.2015 00:00:00.000,95.299,95.410,94.651,95.245,126364.3828
20.02.2015 00:00:00.000,95.242,95.522,94.174,94.937,123233.5781
22.02.2015 00:00:00.000,94.992,95.043,94.936,94.990,5881.2002
23.02.2015 00:00:00.000,94.990,95.032,94.259,94.562,112223.1484
24.02.2015 00:00:00.000,94.562,95.283,94.165,95.109,140890.1406
25.02.2015 00:00:00.000,95.108,95.870,95.073,95.557,127198.3828
26.02.2015 00:00:00.000,95.557,95.863,95.155,95.440,137266.2813
27.02.2015 00:00:00.000,95.439,95.846,95.288,95.512,122075.2813
01.03.2015 00:00:00.000,95.722,95.758,95.629,95.742,8238.4697
02.03.2015 00:00:00.000,95.748,95.980,95.362,95.842,97426.75
03.03.2015 00:00:00.000,95.839,96.267,95.457,95.823,117427.4922
04.03.2015 00:00:00.000,95.824,96.487,95.322,96.272,116221.5391
05.03.2015 00:00:00.000,96.272,96.820,95.952,96.163,116159.2813
06.03.2015 00:00:00.000,96.163,96.357,95.623,95.687,113109.1563
08.03.2015 00:00:00.000,95.697,95.803,95.642,95.781,6799.6899
09.03.2015 00:00:00.000,95.783,96.356,95.662,96.203,122818.0938
10.03.2015 00:00:00.000,96.204,96.472,95.282,95.482,165693.625
11.03.2015 00:00:00.000,95.482,95.879,94.889,95.284,167009.5313
12.03.2015 00:00:00.000,95.291,95.729,95.195,95.597,154760.7969
